Time (us),Value
0.0,0.0
1.3401340134013402e-08,0.0
2.6802680268026803e-08,0.0
4.0204020402040205e-08,0.0
5.3605360536053607e-08,0.0
6.700670067006701e-08,0.0
8.040804080408041e-08,0.0
9.380938093809381e-08,0.0
1.0721072107210721e-07,0.0
1.2061206120612063e-07,0.0
1.3401340134013402e-07,0.0
1.474147414741474e-07,0.0
1.6081608160816082e-07,0.0
1.7421742174217423e-07,0.0
1.8761876187618762e-07,0.0
2.01020102010201e-07,0.0
2.1442144214421443e-07,0.0
2.2782278227822784e-07,0.0
2.4122412241224126e-07,0.0
2.546254625462546e-07,0.0
2.6802680268026803e-07,0.0
2.8142814281428145e-07,0.0
2.948294829482948e-07,0.0
3.082308230823082e-07,0.0
3.2163216321632164e-07,0.0
3.3503350335033506e-07,0.0
3.4843484348434847e-07,0.0
3.6183618361836183e-07,0.0
3.7523752375237525e-07,0.0
3.8863886388638866e-07,0.0
4.02040204020402e-07,0.0
4.1544154415441544e-07,0.0
4.2884288428842885e-07,0.0
4.4224422442244227e-07,0.0
4.556455645564557e-07,0.0
4.6904690469046905e-07,0.0
4.824482448244825e-07,0.0
4.958495849584959e-07,0.0
5.092509250925092e-07,0.0
5.226522652265227e-07,0.0
5.360536053605361e-07,0.0
5.494549454945494e-07,0.0
5.628562856285629e-07,0.0
5.762576257625763e-07,0.0
5.896589658965896e-07,0.0
6.030603060306031e-07,0.0
6.164616461646165e-07,0.0
6.298629862986299e-07,0.0
6.432643264326433e-07,0.0
6.566656665666566e-07,0.0
6.700670067006701e-07,0.0
6.834683468346835e-07,0.0
6.968696869686969e-07,0.0
7.102710271027103e-07,0.0
7.236723672367237e-07,0.0
7.370737073707371e-07,0.0
7.504750475047505e-07,0.0
7.638763876387639e-07,0.0
7.772777277727773e-07,0.0
7.906790679067907e-07,0.0
8.04080408040804e-07,0.0
8.174817481748175e-07,0.0
8.308830883088309e-07,0.0
8.442844284428443e-07,0.0
8.576857685768577e-07,0.0
8.710871087108711e-07,0.0
8.844884488448845e-07,0.0
8.978897889788979e-07,0.0
9.112911291129114e-07,0.0
9.246924692469247e-07,0.0
9.380938093809381e-07,0.0
9.514951495149516e-07,0.0
9.64896489648965e-07,0.0
9.782978297829783e-07,0.0
9.916991699169918e-07,0.0
1.0051005100510052e-06,0.0
1.0185018501850185e-06,0.0
1.031903190319032e-06,0.0
1.0453045304530454e-06,0.0
1.0587058705870587e-06,0.0
1.0721072107210721e-06,0.0
1.0855085508550856e-06,0.0
1.0989098909890989e-06,0.0
1.1123112311231123e-06,0.0
1.1257125712571258e-06,0.0
1.139113911391139e-06,0.0
1.1525152515251525e-06,0.0
1.165916591659166e-06,0.0
1.1793179317931792e-06,0.0
1.1927192719271927e-06,0.0
1.2061206120612062e-06,0.0
1.2195219521952196e-06,0.0
1.232923292329233e-06,0.0
1.2463246324632464e-06,0.0
1.2597259725972598e-06,0.0
1.273127312731273e-06,0.0
1.2865286528652866e-06,0.0
1.2999299929993e-06,0.0
1.3133313331333133e-06,0.0
1.3267326732673268e-06,0.0
1.3401340134013402e-06,0.0
1.3535353535353535e-06,0.0
1.366936693669367e-06,0.0
1.3803380338033804e-06,0.0
1.3937393739373939e-06,0.0
1.4071407140714071e-06,0.0
1.4205420542054206e-06,0.0
1.433943394339434e-06,0.0
1.4473447344734473e-06,0.0
1.4607460746074608e-06,0.0
1.4741474147414743e-06,0.0
1.4875487548754875e-06,0.0
1.500950095009501e-06,0.0
1.5143514351435145e-06,0.0
1.5277527752775277e-06,0.0
1.5411541154115412e-06,0.0
1.5545554555455546e-06,0.0
1.567956795679568e-06,0.0
1.5813581358135814e-06,0.0
1.5947594759475948e-06,0.0
1.608160816081608e-06,0.0
1.6215621562156216e-06,0.0
1.634963496349635e-06,0.0
1.6483648364836485e-06,0.0
1.6617661766176618e-06,0.0
1.6751675167516752e-06,0.0
1.6885688568856887e-06,0.0
1.701970197019702e-06,0.0
1.7153715371537154e-06,0.0
1.7287728772877289e-06,0.0
1.7421742174217421e-06,0.0
1.7555755575557556e-06,0.0
1.768976897689769e-06,0.0
1.7823782378237823e-06,0.0
1.7957795779577958e-06,0.0
1.8091809180918093e-06,0.0
1.8225822582258227e-06,0.0
1.835983598359836e-06,0.0
1.8493849384938495e-06,0.0
1.862786278627863e-06,0.0
1.8761876187618762e-06,0.0
1.8895889588958896e-06,0.0
1.9029902990299031e-06,0.0
1.9163916391639164e-06,0.0
1.92979297929793e-06,0.0
1.9431943194319433e-06,0.0
1.9565956595659566e-06,0.0
1.9699969996999702e-06,0.0
1.9833983398339835e-06,0.0
1.9967996799679968e-06,0.0
2.0102010201020104e-06,-1.1718285257310455e-13
2.0236023602360237e-06,-1.4485233692763418e-12
2.037003700370037e-06,-5.570828576218848e-12
2.0504050405040506e-06,-1.4051753873301581e-11
2.063806380638064e-06,-2.844621178616309e-11
2.077207720772077e-06,-5.029640637515137e-11
2.090609060906091e-06,-8.113186764429435e-11
2.104010401040104e-06,-1.224694859502663e-10
2.1174117411741173e-06,-1.758135464113639e-10
2.130813081308131e-06,-2.426557633164751e-10
2.1442144214421443e-06,-3.2447531453404184e-10
2.1576157615761575e-06,-4.227388759210424e-10
2.171017101710171e-06,-5.389006557319581e-10
2.1844184418441845e-06,-6.744024290277301e-10
2.1978197819781977e-06,-8.306735720847517e-10
2.2112211221122114e-06,-1.0091310968038303e-09
2.2246224622462247e-06,-1.211179685119139e-09
2.238023802380238e-06,-1.438211723407218e-09
2.2514251425142516e-06,-1.6916073368959351e-09
2.264826482648265e-06,-1.9727344240734248e-09
2.278227822782278e-06,-2.2829486910971108e-09
2.2916291629162918e-06,-2.6235936862026513e-09
2.305030503050305e-06,-2.996000834112878e-09
2.3184318431843183e-06,-3.4014894704468263e-09
2.331833183318332e-06,-3.8413668761286815e-09
2.3452345234523452e-06,-4.316928311796702e-09
2.3586358635863585e-06,-4.829457052212269e-09
2.372037203720372e-06,-5.3802244206688286e-09
2.3854385438543854e-06,-5.970489823400795e-09
2.398839883988399e-06,-6.6015007839926546e-09
2.4122412241224124e-06,-7.274492977787782e-09
2.4256425642564256e-06,-7.99069026629754e-09
2.4390439043904393e-06,-8.751304731610219e-09
2.4524452445244525e-06,-9.557536710799897e-09
2.465846584658466e-06,-1.0410574830335582e-08
2.4792479247924795e-06,-1.13115960404901e-08
2.4926492649264927e-06,-1.2261765649748982e-08
2.506050605060506e-06,-1.3262237359219597e-08
2.5194519451945197e-06,-1.431415329704006e-08
2.532853285328533e-06,-1.5418644052788076e-08
2.546254625462546e-06,-1.6576828711890113e-08
2.55965596559656e-06,-1.7789814890030295e-08
2.573057305730573e-06,-1.9058698767559232e-08
2.5864586458645864e-06,-2.038456512390324e-08
2.5998599859986e-06,-2.176848737197318e-08
2.6132613261326133e-06,-2.321152759257331e-08
2.6266626662666266e-06,-2.4714736568810492e-08
2.6400640064006402e-06,-2.6279153820503097e-08
2.6534653465346535e-06,-2.790580763858973e-08
2.6668666866686668e-06,-2.9595715119538574e-08
2.6802680268026804e-06,-3.1349882199756185e-08
2.6936693669366937e-06,-3.316930368999629e-08
2.707070707070707e-06,-3.505496330976911e-08
2.7204720472047206e-06,-3.700783372175014e-08
2.733873387338734e-06,-3.902887656618894e-08
2.747274727472747e-06,-4.1119042495318496e-08
2.760676067606761e-06,-4.327927120776399e-08
2.774077407740774e-06,-4.551049148295155e-08
2.7874787478747878e-06,-4.7813621215517715e-08
2.800880088008801e-06,-5.018956744971787e-08
2.8142814281428143e-06,-5.2639226413835666e-08
2.827682768276828e-06,-5.516348355459183e-08
2.841084108410841e-06,-5.776321357155282e-08
2.8544854485448545e-06,-6.043928045154039e-08
2.867886788678868e-06,-6.319253750304019e-08
2.8812881288128814e-06,-6.602382739061058e-08
2.8946894689468947e-06,-6.893398216929206e-08
2.9080908090809083e-06,-7.1923823319016e-08
2.9214921492149216e-06,-7.499416177901333e-08
2.934893489348935e-06,-7.814579798222409e-08
2.9482948294829485e-06,-8.137952188970603e-08
2.9616961696169618e-06,-8.469611302504349e-08
2.975097509750975e-06,-8.809634050875668e-08
2.9884988498849887e-06,-9.158096309271056e-08
3.001900190019002e-06,-9.51507291945235e-08
3.0153015301530152e-06,-9.880637693197669e-08
3.028702870287029e-06,-1.025486341574231e-07
3.042104210421042e-06,-1.0637821849219565e-07
3.0555055505550554e-06,-1.1029583736101749e-07
3.068906890689069e-06,-1.1430218802641e-07
3.0823082308230824e-06,-1.1839795762310186e-07
3.0957095709570956e-06,-1.2258382319243845e-07
3.1091109110911093e-06,-1.268604517167906e-07
3.1225122512251225e-06,-1.3122850015396325e-07
3.135913591359136e-06,-1.3568861547160497e-07
3.1493149314931495e-06,-1.402414346816167e-07
3.1627162716271627e-06,-1.448875848745603e-07
3.176117611761176e-06,-1.4962768325406828e-07
3.1895189518951897e-06,-1.5446233717125243e-07
3.202920292029203e-06,-1.593921441591123e-07
3.216321632163216e-06,-1.644176919669451e-07
3.22972297229723e-06,-1.6953955859475412e-07
3.243124312431243e-06,-1.7475831232765733e-07
3.256525652565257e-06,-1.8007451177029756e-07
3.26992699269927e-06,-1.854887058812499e-07
3.2833283328332833e-06,-1.91001434007432e-07
3.296729672967297e-06,-1.9661322591851256e-07
3.3101310131013103e-06,-2.0232460184131973e-07
3.3235323532353235e-06,-2.0813607249425108e-07
3.336933693369337e-06,-2.140481391216822e-07
3.3503350335033504e-06,-2.2006129352837495e-07
3.3637363736373637e-06,-2.2617601811388754e-07
3.3771377137713774e-06,-2.3239278590698318e-07
3.3905390539053906e-06,-2.3871206060003815e-07
3.403940394039404e-06,-2.4513429658345217e-07
3.4173417341734176e-06,-2.516599389800566e-07
3.430743074307431e-06,-2.5828942367952307e-07
3.444144414441444e-06,-2.6502317737277333e-07
3.4575457545754578e-06,-2.718616175863879e-07
3.470947094709471e-06,-2.7880515271701417e-07
