T_us,nbar_mode1,nbar_mode2,nbar_mode3,nbar_mode4,nbar_mode5,nbar_mode6,nbar_mode7,nbar_mode8,nbar_mode9
50,376.19665059377076,346.24955589740586,4.179128855960679e-11,9.215578004646343e-07,4.179130306432051e-11,7.240669820802615e-08,6.6866065401429636e-12,2.0788735045079506e-06,1.504487810770397e-11
60,115.37636378229494,345.34095323826887,1.2817038356055042e-11,9.78551758913232e-07,1.2817044275905236e-11,7.20723359424756e-08,2.0507271922508182e-12,2.166258847811668e-06,4.614132985201047e-12
70,120.72975795638817,345.0146126307801,1.3411738543468342e-11,1.0608116861325752e-06,1.3411743007673409e-11,7.062427102744256e-08,2.1458761340730658e-12,2.1958651595159345e-06,4.828227470039036e-12
80,372.7535520551072,345.6044996878101,4.140879554990861e-11,1.1461589238038837e-06,4.140880427684111e-11,7.165362589297094e-08,6.625412924482423e-12,2.1303847252261764e-06,1.490718155101178e-11
90,163.5952864844281,347.8463985189053,1.817363755295413e-11,1.1574501973466044e-06,1.8173627461226875e-11,7.362167871489579e-08,2.907781227268197e-12,2.243949814612866e-06,6.542508693400966e-12
100,265.2594770213509,346.58910511870687,2.9467400490667436e-11,1.1419661280167191e-06,2.946740334564602e-11,7.182904854289615e-08,4.714786342771234e-12,2.069881682035252e-06,1.0608272243194345e-11
110,472.14132699532973,349.8024836957894,5.244968527216573e-11,1.1575430328793155e-06,5.244969116673478e-11,7.264362756538803e-08,8.391947243142714e-12,2.248492626644707e-06,1.888189964611215e-11
120,102.65668517477259,349.7262307157438,1.1404023625106786e-11,1.1511948980474895e-06,1.1404023728282023e-11,7.290550614270225e-08,1.8246422884177907e-12,2.0707045382870316e-06,4.10544386102681e-12
130,170.6504650576282,348.74654183153564,1.8957388826163952e-11,1.1565522352073542e-06,1.8957383419966828e-11,7.403491456960065e-08,3.0331773859464053e-12,2.2411208683824455e-06,6.82466042529467e-12
140,172.35882985114682,378.5517850298667,1.9147159779504928e-11,1.1734222587385298e-06,1.9147158315022787e-11,7.52349942240835e-08,3.0635476684799686e-12,2.171475068559011e-06,6.892983260702593e-12
150,96.21695600719411,360.5290568923415,1.0688643293155608e-11,1.1652876759680858e-06,1.0688638243560754e-11,7.263753686343813e-08,1.7101833450102351e-12,2.252984100703837e-06,3.847912305933768e-12
160,24.48373656856584,347.7420819402845,2.7198746791890354e-12,1.192531988119984e-06,2.719875080757785e-12,7.526022306733772e-08,4.351795729765514e-13,2.251740050673322e-06,9.791543380910896e-13
170,24.48373624652435,347.7341913406622,2.71987548359917e-12,1.1717080888968567e-06,2.7198753503537244e-12,7.37578594143946e-08,4.351777281041141e-13,2.256546100816889e-06,9.791551094281721e-13
180,24.483735648510386,347.7341228523321,2.7198758033121337e-12,1.188846376109128e-06,2.7198772934874624e-12,7.23105897570073e-08,4.3518283239646323e-13,2.256545662170017e-06,9.791547113687433e-13
190,24.483735904473146,347.734035907713,2.7198753130060076e-12,1.190084538072828e-06,2.719877147952612e-12,7.459649748046473e-08,4.3518351776297217e-13,2.2543215563098358e-06,9.791551672598837e-13
200,24.483735978077288,347.73400019389976,2.719874674806989e-12,1.188534721149957e-06,2.7198765367590347e-12,7.599984909689758e-08,4.351834487872658e-13,2.2543211065053986e-06,9.791549092642679e-13
