Time (us),Value
0.0,0.0
2.000200020002e-08,0.0
4.000400040004e-08,0.0
6.000600060006e-08,0.0
8.000800080008e-08,0.0
1.000100010001e-07,0.0
1.2001200120012e-07,0.0
1.4001400140014e-07,0.0
1.6001600160016e-07,0.0
1.8001800180018e-07,0.0
2.000200020002e-07,0.0
2.2002200220022e-07,0.0
2.4002400240024e-07,0.0
2.6002600260026e-07,0.0
2.8002800280028e-07,0.0
3.000300030003e-07,0.0
3.2003200320032e-07,0.0
3.4003400340034003e-07,0.0
3.6003600360036e-07,0.0
3.8003800380038003e-07,0.0
4.000400040004e-07,0.0
4.2004200420042e-07,0.0
4.4004400440044e-07,0.0
4.6004600460046e-07,0.0
4.8004800480048e-07,0.0
5.000500050005001e-07,0.0
5.2005200520052e-07,0.0
5.4005400540054e-07,0.0
5.6005600560056e-07,0.0
5.800580058005801e-07,0.0
6.000600060006e-07,0.0
6.2006200620062e-07,0.0
6.4006400640064e-07,0.0
6.6006600660066e-07,0.0
6.800680068006801e-07,0.0
7.000700070007e-07,0.0
7.2007200720072e-07,0.0
7.4007400740074e-07,0.0
7.600760076007601e-07,0.0
7.8007800780078e-07,0.0
8.000800080008e-07,0.0
8.2008200820082e-07,0.0
8.4008400840084e-07,0.0
8.600860086008601e-07,0.0
8.8008800880088e-07,0.0
9.000900090009e-07,0.0
9.2009200920092e-07,0.0
9.400940094009401e-07,0.0
9.6009600960096e-07,0.0
9.8009800980098e-07,0.0
1.0001000100010001e-06,0.0
1.02010201020102e-06,0.0
1.04010401040104e-06,0.0
1.06010601060106e-06,0.0
1.08010801080108e-06,0.0
1.1001100110011e-06,0.0
1.12011201120112e-06,0.0
1.14011401140114e-06,0.0
1.1601160116011601e-06,0.0
1.18011801180118e-06,0.0
1.2001200120012e-06,0.0
1.22012201220122e-06,0.0
1.24012401240124e-06,0.0
1.2601260126012601e-06,0.0
1.28012801280128e-06,0.0
1.3001300130013e-06,0.0
1.32013201320132e-06,0.0
1.34013401340134e-06,0.0
1.3601360136013601e-06,0.0
1.38013801380138e-06,0.0
1.4001400140014e-06,0.0
1.42014201420142e-06,0.0
1.44014401440144e-06,0.0
1.4601460146014602e-06,0.0
1.48014801480148e-06,0.0
1.5001500150015e-06,0.0
1.5201520152015201e-06,0.0
1.54015401540154e-06,0.0
1.56015601560156e-06,0.0
1.58015801580158e-06,0.0
1.6001600160016e-06,0.0
1.6201620162016201e-06,0.0
1.64016401640164e-06,0.0
1.66016601660166e-06,0.0
1.68016801680168e-06,0.0
1.7001700170017e-06,0.0
1.7201720172017201e-06,0.0
1.74017401740174e-06,0.0
1.76017601760176e-06,0.0
1.7801780178017801e-06,0.0
1.8001800180018e-06,0.0
1.8201820182018202e-06,0.0
1.84018401840184e-06,0.0
1.86018601860186e-06,0.0
1.8801880188018801e-06,0.0
1.9001900190019e-06,0.0
1.92019201920192e-06,0.0
1.94019401940194e-06,0.0
1.96019601960196e-06,0.0
1.98019801980198e-06,0.0
2.0002000200020003e-06,0.0
2.02020202020202e-06,0.0
2.04020402040204e-06,0.0
2.06020602060206e-06,0.0
2.08020802080208e-06,0.0
2.1002100210021003e-06,0.0
2.12021202120212e-06,0.0
2.14021402140214e-06,0.0
2.16021602160216e-06,0.0
2.18021802180218e-06,0.0
2.2002200220022e-06,0.0
2.22022202220222e-06,0.0
2.24022402240224e-06,0.0
2.26022602260226e-06,0.0
2.28022802280228e-06,0.0
2.3002300230023e-06,0.0
2.3202320232023202e-06,0.0
2.34023402340234e-06,0.0
2.36023602360236e-06,0.0
2.38023802380238e-06,0.0
2.4002400240024e-06,0.0
